  Product  	   Price before VAT 	   VAT 	       Net Price
===============================================================
gamepad    		 700.93   	  49.07   	 750.00 
headphone    		 794.39   	  55.61   	 850.00 
keyboard    		 1579.44   	  110.56   	 1690.00 
microphone    		 953.27   	  66.73   	 1020.00 
mouse    		 429.91   	  30.09   	 460.00 
printer    		 3504.67   	  245.33   	 3750.00 
speaker    		 635.51   	  44.49   	 680.00 
stylus    		 925.23   	  64.77   	 990.00 
tripod    		 112.15   	  7.85   	 120.00 
webcam    		 2140.19   	  149.81   	 2290.00 
